date,symbol,buy,exit
2026-10-01,IWM,0,0
2026-10-01,QQQ,0,0
2026-10-02,IWM,0,0
2026-10-02,QQQ,0,0
2026-10-05,IWM,100,0
2026-10-05,QQQ,0,0
2026-10-06,IWM,0,0
2026-10-06,QQQ,0,0
2026-10-07,IWM,0,0
2026-10-07,QQQ,0,0
2026-10-08,IWM,0,0
2026-10-08,QQQ,0,0
2026-10-09,IWM,0,100
2026-10-09,QQQ,0,0
2026-10-12,IWM,0,0
2026-10-12,QQQ,100,0
2026-10-13,IWM,0,0
2026-10-13,QQQ,0,0
2026-10-14,IWM,0,0
2026-10-14,QQQ,0,0
2026-10-15,IWM,0,0
2026-10-15,QQQ,0,0
2026-10-16,IWM,0,0
2026-10-16,QQQ,0,100
2026-10-19,IWM,0,0
2026-10-19,QQQ,0,0
2026-10-20,IWM,100,0
2026-10-20,QQQ,0,0
2026-10-21,IWM,0,0
2026-10-21,QQQ,0,0
2026-10-22,IWM,0,0
2026-10-22,QQQ,0,0
2026-10-23,IWM,0,0
2026-10-23,QQQ,0,0
2026-10-26,IWM,0,100
2026-10-26,QQQ,0,0
2026-10-27,IWM,0,0
2026-10-27,QQQ,0,0
2026-10-28,IWM,0,0
2026-10-28,QQQ,0,0
