date,symbol,buy,exit
2026-10-01,SPY,100,0
2026-10-01,QQQ,0,0
2026-10-02,SPY,0,0
2026-10-02,QQQ,0,0
2026-10-05,SPY,0,100
2026-10-05,QQQ,0,0
2026-10-06,SPY,100,0
2026-10-06,QQQ,0,0
2026-10-07,SPY,0,0
2026-10-07,QQQ,0,0
2026-10-08,SPY,0,100
2026-10-08,QQQ,0,0
2026-10-09,SPY,100,0
2026-10-09,QQQ,0,0
2026-10-12,SPY,0,0
2026-10-12,QQQ,0,0
2026-10-13,SPY,0,100
2026-10-13,QQQ,0,0
2026-10-14,SPY,100,0
2026-10-14,QQQ,100,0
2026-10-15,SPY,0,0
2026-10-15,QQQ,0,0
2026-10-16,SPY,0,100
2026-10-16,QQQ,0,0
2026-10-19,SPY,100,0
2026-10-19,QQQ,0,0
2026-10-20,SPY,0,0
2026-10-20,QQQ,0,0
2026-10-21,SPY,0,100
2026-10-21,QQQ,0,0
2026-10-22,SPY,100,0
2026-10-22,QQQ,0,0
2026-10-23,SPY,0,0
2026-10-23,QQQ,0,0
2026-10-26,SPY,0,100
2026-10-26,QQQ,0,0
2026-10-27,SPY,100,0
2026-10-27,QQQ,0,0
2026-10-28,SPY,0,0
2026-10-28,QQQ,0,0
