date,symbol,buy,exit
2026-10-01,SPY,20,20
2026-10-01,QQQ,20,20
2026-10-01,IWM,20,20
2026-10-02,SPY,20,80
2026-10-02,QQQ,20,20
2026-10-02,IWM,20,20
2026-10-05,SPY,80,20
2026-10-05,QQQ,20,20
2026-10-05,IWM,20,20
2026-10-06,SPY,20,20
2026-10-06,QQQ,20,20
2026-10-06,IWM,80,20
2026-10-07,SPY,20,80
2026-10-07,QQQ,20,20
2026-10-07,IWM,20,20
2026-10-08,SPY,80,20
2026-10-08,QQQ,20,20
2026-10-08,IWM,80,20
2026-10-09,SPY,20,20
2026-10-09,QQQ,20,20
2026-10-09,IWM,80,20
2026-10-12,SPY,20,80
2026-10-12,QQQ,20,20
2026-10-12,IWM,20,20
2026-10-13,SPY,80,20
2026-10-13,QQQ,20,20
2026-10-13,IWM,20,20
2026-10-14,SPY,20,20
2026-10-14,QQQ,20,20
2026-10-14,IWM,20,20
2026-10-15,SPY,20,80
2026-10-15,QQQ,20,20
2026-10-15,IWM,20,20
2026-10-16,SPY,80,20
2026-10-16,QQQ,20,20
2026-10-16,IWM,20,20
2026-10-19,SPY,20,20
2026-10-19,QQQ,20,20
2026-10-19,IWM,20,20
2026-10-20,SPY,20,80
2026-10-20,QQQ,20,20
2026-10-20,IWM,20,20
2026-10-21,SPY,80,20
2026-10-21,QQQ,20,20
2026-10-21,IWM,20,20
2026-10-22,SPY,20,20
2026-10-22,QQQ,20,20
2026-10-22,IWM,20,80
2026-10-23,SPY,20,80
2026-10-23,QQQ,20,20
2026-10-23,IWM,20,20
2026-10-26,SPY,80,20
2026-10-26,QQQ,20,20
2026-10-26,IWM,20,20
2026-10-27,SPY,20,20
2026-10-27,QQQ,20,20
2026-10-27,IWM,20,20
2026-10-28,SPY,20,80
2026-10-28,QQQ,20,20
2026-10-28,IWM,20,20
